# Complete sample
## Name                            z      Log(M_star) Log(M_h)    R_h      W(Lya)     W(SiIII)              d       d/Rh     d/R200      N(SiIII)
 2MASXJ025942.96+003907.8      0.134168     11.0       12.4     327.2      0.355       0.022 (U)          293.1    0.825      1.073       11.9/12.6
 [PWC2011a]J031158.58-764855.4 0.119106667  10.8       12.1     261.1      0.572       0.016 (U)          378.7    1.450      1.885       11.8/12.3
 2MASXJ083531.05+245607.6      0.072825     10.9       12.3     301.5      0.067       0.020 (U)          307.1    1.018      1.323       11.9/12.3
 SDSSJ084359.65+411443.4       0.097317     10.9       12.3     308.4      0.960       0.038 (U)          381.3    1.236      1.607       12.0/13.7
 SDSSJ091041.20+101601.8       0.13823      10.6       12.0     232.3      0.239       0.042 (U)          489.8    2.147      2.791       12.1/13.8
 2MASXJ093516.94+020241.0      0.12588      11.1       12.6     390.9      0.459       0.027 (U)          218.0    0.557      0.724       11.9/12.3
 SDSSJ093524.13+020509.9       0.149449     10.7       12.1     250.5      0.535       0.025 (U)          271.9    1.085      1.411       11.9/12.3
 SDSSJ095638.90+411646.0       0.142632     11.0       12.5     337.1      0.268       0.005 (U)          435.1    1.291      1.678       11.5
 2MASXJ100403.23+285649.6      0.133922     10.7       12.1     254.3      0.177       0.011 (U)          179.0    0.703      0.914       11.8/12.0
 SDSSJ100849.00+071204.7       0.127864     10.6       11.9     219.6      0.304       0.031 (U)          498.3    2.269      2.950       11.9/12.3
 2MASXJ100953.50+300202.5      0.113448     10.9       12.3     315.0      0.524       0.011 (U)          252.6    0.802      1.043       11.8/12.0
 SDSSJ102220.70+013143.5       0.136924     10.6       12.0     232.3      0.238       0.026 (U)          105.7    0.455      0.592       11.9/12.3
 2MASXJ111125.61+554435.8      0.137615     10.8       12.1     263.2      0.542       0.009 (U)          436.7    1.659      2.157 11.8(100km/s)/12.0(1km/s)
 2MASXJ111730.29+263804.7      0.065495     10.8       12.1     270.1      0.400       0.024 (U)          496.7    1.839      2.391       11.9/12.3
 SDSSJ112225.88+580147.3       0.052616     10.7       12.0     247.3      0.508       0.017 (U)          404.4    1.635      2.125       11.8/12.3
 2MASXJ113326.13+032418.7      0.085087     10.6       11.9     230.0      0.742       0.039 (U)          291.1    1.265      1.645       12.0/13.7
 2MASXJ124145.87+571537.5      0.054257     10.9       12.2     299.3      0.233       0.016 (U)          355.2    1.187      1.543       11.8/12.3
 NGC4939                       0.010366667  11.0       12.4     360.5      0.010       0.010 (U)          296.7    0.823      1.070       11.8/12.0
 SDSSJ144504.37+342822.0       0.119761     10.6       11.9     223.9      0.249       0.025 (U)          184.4    0.823      1.070       11.9/12.3
 2MASXJ152406.39+095443.2      0.072499     10.6       11.9     227.2      0           0.008 (U)          483.2    2.127      2.765       11.7/11.9
 [PWC2011a]J215454.91-092330.8 0.175976667  10.7       12.0     234.6      0.486       0.009 (U)          352.3    1.502      1.953       11.8/12.0
 [PWC2011a]J215506.53-092325.2 0.132526667  10.7       12.0     244.1      0.414       0.009 (U)          225.1    0.922      1.199       11.8/12.0
